"Activity" "Subject" "Mean"
"WALKING" 1 -0.290712416360036
"WALKING" 1 -0.286591356914082
"WALKING" 1 -0.284375201315508
"WALKING" 1 -0.283384731214617
"WALKING" 1 -0.282071559359483
"WALKING" 1 -0.280156542551337
"WALKING" 1 -0.276196599155258
"WALKING" 1 -0.271843978214838
"WALKING" 1 -0.271711299661497
"WALKING" 1 -0.266074875692513
"WALKING" 1 -0.262046949526435
"WALKING" 1 -0.261363131319073
"WALKING" 1 -0.25937103576738
"WALKING" 1 -0.249326508424242
"WALKING" 2 -0.433264223588948
"WALKING" 2 -0.431695709318717
"WALKING" 2 -0.426233989561373
"WALKING" 2 -0.423988485810766
"WALKING" 2 -0.421519530120392
"WALKING" 2 -0.421248535558824
"WALKING" 2 -0.421018363267326
"WALKING" 2 -0.417761880153654
"WALKING" 2 -0.414124949136399
"WALKING" 2 -0.413656147695544
"WALKING" 2 -0.412962779907237
"WALKING" 2 -0.410358778593583
"WALKING" 2 -0.410193764785383
"WALKING" 2 -0.409657659676114
"WALKING" 2 -0.409370695273262
"WALKING" 2 -0.409055405363512
"WALKING" 2 -0.408708163231016
"WALKING" 2 -0.408673876952549
"WALKING" 2 -0.408455143196613
"WALKING" 2 -0.405726452411408
"WALKING" 2 -0.405359700192335
"WALKING" 2 -0.403695620754242
"WALKING" 2 -0.401733724290143
"WALKING" 2 -0.398793969865241
"WALKING" 2 -0.398286607170339
"WALKING" 2 -0.397752510916221
"WALKING" 2 -0.396796833196435
"WALKING" 2 -0.396530653231729
"WALKING" 2 -0.396462351955258
"WALKING" 2 -0.394577513342068
"WALKING" 2 -0.39318160581385
"WALKING" 2 -0.392573512978788
"WALKING" 2 -0.387411063519857
"WALKING" 2 -0.383937018321123
"WALKING" 2 -0.382556477427184
"WALKING" 2 -0.382034891312478
"WALKING" 2 -0.380767194617344
"WALKING" 2 -0.378258618546881
"WALKING" 2 -0.377140510593226
"WALKING" 2 -0.376882601328271
"WALKING" 2 -0.376231061837041
"WALKING" 2 -0.376212570243316
"WALKING" 2 -0.373864449880927
"WALKING" 2 -0.369791900210945
"WALKING" 2 -0.36932265219893
"WALKING" 2 -0.369149355658734
"WALKING" 2 -0.367404138388592
"WALKING" 2 -0.367092628102014
"WALKING" 2 -0.360396060184492
"WALKING" 2 -0.354752729513012
"WALKING" 2 -0.352239336734581
"WALKING" 2 -0.347496637733333
"WALKING" 2 -0.345783318982531
"WALKING" 2 -0.337150558909857
"WALKING" 2 -0.335424650122014
"WALKING" 2 -0.31134261781836
"WALKING" 2 -0.307386312290196
"WALKING" 2 -0.297854150316756
"WALKING" 2 -0.2954748871459
"WALKING" 3 -0.477016515015508
"WALKING" 3 -0.473409762793226
"WALKING" 3 -0.459443431552763
"WALKING" 3 -0.451671221493583
"WALKING" 3 -0.421943028685205
"WALKING" 3 -0.417600719047415
"WALKING" 3 -0.414442447231373
"WALKING" 3 -0.408266600928342
"WALKING" 3 -0.4074079136082
"WALKING" 3 -0.405748822653298
"WALKING" 3 -0.405490088342424
"WALKING" 3 -0.402371496228414
"WALKING" 3 -0.400065633986631
"WALKING" 3 -0.399631676334225
"WALKING" 3 -0.399087083545989
"WALKING" 3 -0.395833472291979
"WALKING" 3 -0.394531519627442
"WALKING" 3 -0.392669138239037
"WALKING" 3 -0.39170249631426
"WALKING" 3 -0.391301045947594
"WALKING" 3 -0.390164817509269
"WALKING" 3 -0.389700836916399
"WALKING" 3 -0.38883288181492
"WALKING" 3 -0.38762424016205
"WALKING" 3 -0.386786394051431
"WALKING" 3 -0.384656070205704
"WALKING" 3 -0.383524677405811
"WALKING" 3 -0.383511539914973
"WALKING" 3 -0.383498649321836
"WALKING" 3 -0.38267480692344
"WALKING" 3 -0.382186748508128
"WALKING" 3 -0.381940700504617
"WALKING" 3 -0.381608627069875
"WALKING" 3 -0.38013215434016
"WALKING" 3 -0.37999302316344
"WALKING" 3 -0.379810653868039
"WALKING" 3 -0.379615732062389
"WALKING" 3 -0.378636386320677
"WALKING" 3 -0.378155472713191
"WALKING" 3 -0.378081353497326
"WALKING" 3 -0.375491995618182
"WALKING" 3 -0.372169905447184
"WALKING" 3 -0.369062383583779
"WALKING" 3 -0.365724047729715
"WALKING" 3 -0.364155458711052
"WALKING" 3 -0.36370899766328
"WALKING" 3 -0.363590607481283
"WALKING" 3 -0.363534818199465
"WALKING" 3 -0.363388507873797
"WALKING" 3 -0.362815620079144
"WALKING" 3 -0.359681355549376
"WALKING" 3 -0.356019505276114
"WALKING" 3 -0.355946040844724
"WALKING" 3 -0.354582000579679
"WALKING" 3 -0.353432922375321
"WALKING" 3 -0.343662359198057
"WALKING" 3 -0.341471867328307
"WALKING" 3 -0.339011773042781
"WALKING" 4 -0.475263303095365
"WALKING" 4 -0.46315964747754
"WALKING" 4 -0.45716537303975
"WALKING" 4 -0.456962234533333
"WALKING" 4 -0.455880283748485
"WALKING" 4 -0.453727007223529
"WALKING" 4 -0.453283235200802
"WALKING" 4 -0.452346872842371
"WALKING" 4 -0.448854340117112
"WALKING" 4 -0.448643154881818
"WALKING" 4 -0.446455214743672
"WALKING" 4 -0.446123393685451
"WALKING" 4 -0.444490498759002
"WALKING" 4 -0.443426114225312
"WALKING" 4 -0.442982428168271
"WALKING" 4 -0.442499047741889
"WALKING" 4 -0.44202210478549
"WALKING" 4 -0.441577353266667
"WALKING" 4 -0.440614358457219
"WALKING" 4 -0.440410916442068
"WALKING" 4 -0.439463079627094
"WALKING" 4 -0.437674686533565
"WALKING" 4 -0.437478230202763
"WALKING" 4 -0.436892091372549
"WALKING" 4 -0.434850790681349
"WALKING" 4 -0.433333773464813
"WALKING" 4 -0.431780791545276
"WALKING" 4 -0.4313323877041
"WALKING" 4 -0.430355145685027
"WALKING" 4 -0.429801298231729
"WALKING" 4 -0.429024322070695
"WALKING" 4 -0.428961466091622
"WALKING" 4 -0.42839743422246
"WALKING" 4 -0.427490100863102
"WALKING" 4 -0.424927740436791
"WALKING" 4 -0.424727398457397
"WALKING" 4 -0.423157073123779
"WALKING" 4 -0.421935800808021
"WALKING" 4 -0.421234460516934
"WALKING" 4 -0.421210824385633
"WALKING" 4 -0.420811891554194
"WALKING" 4 -0.4205732476082
"WALKING" 4 -0.41879968451713
"WALKING" 4 -0.417538604190374
"WALKING" 4 -0.417019820659002
"WALKING" 4 -0.415994823053761
"WALKING" 4 -0.415674259343316
"WALKING" 4 -0.415132248436542
"WALKING" 4 -0.414242526207665
"WALKING" 4 -0.41388007498164
"WALKING" 4 -0.413343980354902
"WALKING" 4 -0.411497463859893
"WALKING" 4 -0.410616878266132
"WALKING" 4 -0.409896085501961
"WALKING" 4 -0.409037896945633
"WALKING" 4 -0.408154966069323
"WALKING" 4 -0.407297390127843
"WALKING" 4 -0.405347171598396
"WALKING" 4 -0.399541645576025
"WALKING" 4 -0.399080453039037
"WALKING" 5 -0.444636333473102
"WALKING" 5 -0.430657206310695
"WALKING" 5 -0.42050773694877
"WALKING" 5 -0.420097138100356
"WALKING" 5 -0.416999226976114
"WALKING" 5 -0.413609438434242
"WALKING" 5 -0.413090931850624
"WALKING" 5 -0.410141832197148
"WALKING" 5 -0.409783903734759
"WALKING" 5 -0.409473466330303
"WALKING" 5 -0.405666720014438
"WALKING" 5 -0.405229231284421
"WALKING" 5 -0.401619914341586
"WALKING" 5 -0.399973585806952
"WALKING" 5 -0.398694018709982
"WALKING" 5 -0.398531388108734
"WALKING" 5 -0.398128272516168
"WALKING" 5 -0.395660070740107
"WALKING" 5 -0.395069538474759
"WALKING" 5 -0.394779126778948
"WALKING" 5 -0.394238830223886
"WALKING" 5 -0.393303502117647
"WALKING" 5 -0.392976556145455
"WALKING" 5 -0.391790573655615
"WALKING" 5 -0.391642663209091
"WALKING" 5 -0.389514632038146
"WALKING" 5 -0.38787943720836
"WALKING" 5 -0.385840716497148
"WALKING" 5 -0.380497126480927
"WALKING" 5 -0.380179251483975
"WALKING" 5 -0.376756384124011
"WALKING" 5 -0.374297084303369
"WALKING" 5 -0.373751029899643
"WALKING" 5 -0.372424148928699
"WALKING" 5 -0.370391645474848
"WALKING" 5 -0.370219078619144
"WALKING" 5 -0.369908141148307
"WALKING" 5 -0.364048635389911
"WALKING" 5 -0.360772257488592
"WALKING" 5 -0.360402675184296
"WALKING" 5 -0.360241992351872
"WALKING" 5 -0.359833333189415
"WALKING" 5 -0.355880825952656
"WALKING" 5 -0.355533555251337
"WALKING" 5 -0.353280385916399
"WALKING" 5 -0.352028148670303
"WALKING" 5 -0.349401938845686
"WALKING" 5 -0.346692218548841
"WALKING" 5 -0.344508561845651
"WALKING" 5 -0.341402806896881
"WALKING" 5 -0.340200514441711
"WALKING" 5 -0.326606552138627
"WALKING" 5 -0.324160437034711
"WALKING" 5 -0.312126421731818
"WALKING" 5 -0.307043257700178
"WALKING" 5 -0.305842430001961
"WALKING" 6 -0.417372813878431
"WALKING" 6 -0.415842422707487
"WALKING" 6 -0.412408997111052
"WALKING" 6 -0.408495351509626
"WALKING" 6 -0.404116388075055
"WALKING" 6 -0.395725511096613
"WALKING" 6 -0.390297192052745
"WALKING" 6 -0.388778717742781
"WALKING" 6 -0.387674369012656
"WALKING" 6 -0.383059599308253
"WALKING" 6 -0.382747365163993
"WALKING" 6 -0.380540616702317
"WALKING" 6 -0.379379989949733
"WALKING" 6 -0.374221466204973
"WALKING" 6 -0.374117755172549
"WALKING" 6 -0.372313968451515
"WALKING" 6 -0.369155729765472
"WALKING" 6 -0.368897301280802
"WALKING" 6 -0.367380413019608
"WALKING" 6 -0.366727323329234
"WALKING" 6 -0.365163633756328
"WALKING" 6 -0.35638156124902
"WALKING" 6 -0.356025164086881
"WALKING" 6 -0.355320037742959
"WALKING" 6 -0.35248262397139
"WALKING" 6 -0.350133167748841
"WALKING" 6 -0.34805396364508
"WALKING" 6 -0.345776281632086
"WALKING" 6 -0.337357035552567
"WALKING" 6 -0.330682304784652
"WALKING" 6 -0.329977336196613
"WALKING" 6 -0.328179951671693
"WALKING" 6 -0.322707980754973
"WALKING" 6 -0.31906364400107
"WALKING" 6 -0.316307048241979
"WALKING" 6 -0.311905983966132
"WALKING" 6 -0.311859766547772
"WALKING" 6 -0.30986286095205
"WALKING" 6 -0.309608234510397
"WALKING" 6 -0.308846813761854
"WALKING" 6 -0.296371671923173
"WALKING" 6 -0.295181814797611
"WALKING" 6 -0.294850153656863
"WALKING" 6 -0.293977750941355
"WALKING" 6 -0.293857252549198
"WALKING" 6 -0.293148481248717
"WALKING" 6 -0.291261754024046
"WALKING" 6 -0.289523039389929
"WALKING" 6 -0.288274822738324
"WALKING" 6 -0.288155110945811
"WALKING" 6 -0.286546599539626
"WALKING" 6 -0.279847708638289
"WALKING" 6 -0.278909466218182
"WALKING" 6 -0.275261691231373
"WALKING" 6 -0.267647932088948
"WALKING" 6 -0.261041799627807
"WALKING" 6 -0.259455927918717
"WALKING" 7 -0.479253030552763
"WALKING" 7 -0.407015513356346
"WALKING" 7 -0.378499403399822
"WALKING" 7 -0.377196116921681
"WALKING" 7 -0.37240453648877
"WALKING" 7 -0.367255492207308
"WALKING" 7 -0.367051381397683
"WALKING" 7 -0.366562612568021
"WALKING" 7 -0.363412196194118
"WALKING" 7 -0.361942206683066
"WALKING" 7 -0.358859862158841
"WALKING" 7 -0.356059549008021
"WALKING" 7 -0.344036627634474
"WALKING" 7 -0.342260012560428
"WALKING" 7 -0.339946505272549
"WALKING" 7 -0.339802048102816
"WALKING" 7 -0.339235650650713
"WALKING" 7 -0.333235013876114
"WALKING" 7 -0.33273303025098
"WALKING" 7 -0.331604770211943
"WALKING" 7 -0.327889756606346
"WALKING" 7 -0.327492532591087
"WALKING" 7 -0.323984928571479
"WALKING" 7 -0.323610266428342
"WALKING" 7 -0.315187562124599
"WALKING" 7 -0.313233187201961
"WALKING" 7 -0.308068597155134
"WALKING" 7 -0.306813914234367
"WALKING" 7 -0.306254504534225
"WALKING" 7 -0.304950217467023
"WALKING" 7 -0.298890970168984
"WALKING" 7 -0.297587568173619
"WALKING" 7 -0.292778121205169
"WALKING" 7 -0.291238874768984
"WALKING" 7 -0.283952916919285
"WALKING" 7 -0.278129480991373
"WALKING" 7 -0.277580647897326
"WALKING" 7 -0.277220010479857
"WALKING" 7 -0.273407839390374
"WALKING" 7 -0.272837394399537
"WALKING" 7 -0.272601908373191
"WALKING" 7 -0.267395817401034
"WALKING" 7 -0.266824899944742
"WALKING" 7 -0.264451362919929
"WALKING" 7 -0.261779359534403
"WALKING" 7 -0.252956361988057
"WALKING" 7 -0.250348761539857
"WALKING" 7 -0.246732288538075
"WALKING" 7 -0.244933461382542
"WALKING" 7 -0.244710176642781
"WALKING" 7 -0.244554235827344
"WALKING" 7 -0.243415641584581
"WALKING" 7 -0.237791895426702
"WALKING" 7 -0.233505741663119
"WALKING" 7 -0.232227741064171
"WALKING" 7 -0.232047317060392
"WALKING" 7 -0.22982370124066
"WALKING" 8 -0.354927882045455
"WALKING" 8 -0.352562338078039
"WALKING" 8 -0.350208722037968
"WALKING" 8 -0.348828602695882
"WALKING" 8 -0.347789066205704
"WALKING" 8 -0.3452759650982
"WALKING" 8 -0.339013212452103
"WALKING" 8 -0.33789747476426
"WALKING" 8 -0.336818482761818
"WALKING" 8 -0.336088566967736
"WALKING" 8 -0.334086736846483
"WALKING" 8 -0.329887665813369
"WALKING" 8 -0.326400757588217
"WALKING" 8 -0.326186765731016
"WALKING" 8 -0.321299936598039
"WALKING" 8 -0.320134604767897
"WALKING" 8 -0.317796524405597
"WALKING" 8 -0.317772645482674
"WALKING" 8 -0.317524723538859
"WALKING" 8 -0.317097410496435
"WALKING" 8 -0.316136799628342
"WALKING" 8 -0.31380163076221
"WALKING" 8 -0.312046457523904
"WALKING" 8 -0.310863610083893
"WALKING" 8 -0.30807699898984
"WALKING" 8 -0.305956362138859
"WALKING" 8 -0.301006293536007
"WALKING" 8 -0.300356665626203
"WALKING" 8 -0.300101260851373
"WALKING" 8 -0.29734254145508
"WALKING" 8 -0.29070221386303
"WALKING" 8 -0.283514267208734
"WALKING" 8 -0.277686506134581
"WALKING" 8 -0.273045510687879
"WALKING" 8 -0.269276189716613
"WALKING" 8 -0.267976356134938
"WALKING" 8 -0.267594605734652
"WALKING" 8 -0.265898091572371
"WALKING" 8 -0.264887108498396
"WALKING" 8 -0.264632388309626
"WALKING" 8 -0.258308604123708
"WALKING" 8 -0.253519871781462
"WALKING" 8 -0.245607172533742
"WALKING" 8 -0.242981654594474
"WALKING" 8 -0.234940816754777
"WALKING" 8 -0.233989149191979
"WALKING" 8 -0.2269657570822
"WALKING" 8 -0.223451024738271
"WALKING" 9 -0.448052589796257
"WALKING" 9 -0.426252775276128
"WALKING" 9 -0.422881957061426
"WALKING" 9 -0.417632582478503
"WALKING" 9 -0.416743872027273
"WALKING" 9 -0.410446309074688
"WALKING" 9 -0.409526977772371
"WALKING" 9 -0.408118344983422
"WALKING" 9 -0.401345491265062
"WALKING" 9 -0.395216591511551
"WALKING" 9 -0.389363725286667
"WALKING" 9 -0.38905465481877
"WALKING" 9 -0.388274585834225
"WALKING" 9 -0.38640915570959
"WALKING" 9 -0.385379819377807
"WALKING" 9 -0.384541013914082
"WALKING" 9 -0.382234033592175
"WALKING" 9 -0.378082016281283
"WALKING" 9 -0.375780830503387
"WALKING" 9 -0.374921290227415
"WALKING" 9 -0.374685031830285
"WALKING" 9 -0.373684686404064
"WALKING" 9 -0.372943979015738
"WALKING" 9 -0.372927914649554
"WALKING" 9 -0.371178785162803
"WALKING" 9 -0.369403721768449
"WALKING" 9 -0.368406610342834
"WALKING" 9 -0.368340960231569
"WALKING" 9 -0.366754805981818
"WALKING" 9 -0.364678204349198
"WALKING" 9 -0.364239133936364
"WALKING" 9 -0.363069388984439
"WALKING" 9 -0.361738719716078
"WALKING" 9 -0.359743479874403
"WALKING" 9 -0.359415726227986
"WALKING" 9 -0.357204488424064
"WALKING" 9 -0.356590016981105
"WALKING" 9 -0.356158560132638
"WALKING" 9 -0.35558648840107
"WALKING" 9 -0.350446165979483
"WALKING" 9 -0.350304476963815
"WALKING" 9 -0.349970356941925
"WALKING" 9 -0.347892506516043
"WALKING" 9 -0.344576697966422
"WALKING" 9 -0.342413255647932
"WALKING" 9 -0.342040121196471
"WALKING" 9 -0.335733962012299
"WALKING" 9 -0.333606764884312
"WALKING" 9 -0.332324160508913
"WALKING" 9 -0.329381904868562
"WALKING" 9 -0.321517662697636
"WALKING" 9 -0.3184061455971
"WALKING" 10 -0.382631152309982
"WALKING" 10 -0.377000001123253
"WALKING" 10 -0.371111566851943
"WALKING" 10 -0.366637672031872
"WALKING" 10 -0.362149444183244
"WALKING" 10 -0.361398701091087
"WALKING" 10 -0.359377594855971
"WALKING" 10 -0.355797176890553
"WALKING" 10 -0.354133810948841
"WALKING" 10 -0.35258523082508
"WALKING" 10 -0.349687563463102
"WALKING" 10 -0.344859204698752
"WALKING" 10 -0.344375986970053
"WALKING" 10 -0.343232936239037
"WALKING" 10 -0.342649399664349
"WALKING" 10 -0.341567881209982
"WALKING" 10 -0.340558492540549
"WALKING" 10 -0.338512319845989
"WALKING" 10 -0.33802950598082
"WALKING" 10 -0.337659089320677
"WALKING" 10 -0.332789128306061
"WALKING" 10 -0.331590683846346
"WALKING" 10 -0.328847158675633
"WALKING" 10 -0.328678483027094
"WALKING" 10 -0.32832624935098
"WALKING" 10 -0.326480516088
"WALKING" 10 -0.324865237819073
"WALKING" 10 -0.323251666222988
"WALKING" 10 -0.322989897838027
"WALKING" 10 -0.321761542838146
"WALKING" 10 -0.319354855969519
"WALKING" 10 -0.318622864666649
"WALKING" 10 -0.316917515882531
"WALKING" 10 -0.315804082396435
"WALKING" 10 -0.3148637439462
"WALKING" 10 -0.313845614268824
"WALKING" 10 -0.313157515161497
"WALKING" 10 -0.311051188100535
"WALKING" 10 -0.309883062069715
"WALKING" 10 -0.308116867217647
"WALKING" 10 -0.306903104918841
"WALKING" 10 -0.305921341024064
"WALKING" 10 -0.305886519192513
"WALKING" 10 -0.305108982250446
"WALKING" 10 -0.30145172263934
"WALKING" 10 -0.299998238320143
"WALKING" 10 -0.297813434130125
"WALKING" 10 -0.296491231369465
"WALKING" 10 -0.29574541703016
"WALKING" 10 -0.291183655040356
"WALKING" 10 -0.288061901645237
"WALKING" 10 -0.28302410751943
"WALKING" 10 -0.28285687491533
"WALKING" 11 -0.471603446608556
"WALKING" 11 -0.466845235191078
"WALKING" 11 -0.460957347188592
"WALKING" 11 -0.456412581661141
"WALKING" 11 -0.45435424153779
"WALKING" 11 -0.454024266264884
"WALKING" 11 -0.45290675538779
"WALKING" 11 -0.452301610863102
"WALKING" 11 -0.451984155084135
"WALKING" 11 -0.451769985564171
"WALKING" 11 -0.451256818697326
"WALKING" 11 -0.450898751817927
"WALKING" 11 -0.450797563999055
"WALKING" 11 -0.449738511339572
"WALKING" 11 -0.449483133903957
"WALKING" 11 -0.447402188282763
"WALKING" 11 -0.446142412332799
"WALKING" 11 -0.445219078843672
"WALKING" 11 -0.44422102668943
"WALKING" 11 -0.443864808111497
"WALKING" 11 -0.441245309271301
"WALKING" 11 -0.438971521829412
"WALKING" 11 -0.436975422644028
"WALKING" 11 -0.436295262552406
"WALKING" 11 -0.436240604906329
"WALKING" 11 -0.435562400029002
"WALKING" 11 -0.4350246676918
"WALKING" 11 -0.434733824830873
"WALKING" 11 -0.434375829986988
"WALKING" 11 -0.432287540157843
"WALKING" 11 -0.43157730310303
"WALKING" 11 -0.431507620019412
"WALKING" 11 -0.427722929052228
"WALKING" 11 -0.426521447388235
"WALKING" 11 -0.426245742308503
"WALKING" 11 -0.426178861390481
"WALKING" 11 -0.423524722620856
"WALKING" 11 -0.421356292151693
"WALKING" 11 -0.419664159708021
"WALKING" 11 -0.418230892757397
"WALKING" 11 -0.418191228562389
"WALKING" 11 -0.41794314288467
"WALKING" 11 -0.417570127506471
"WALKING" 11 -0.417274502613191
"WALKING" 11 -0.416439221869875
"WALKING" 11 -0.415589966289127
"WALKING" 11 -0.415140504424064
"WALKING" 11 -0.414098416033619
"WALKING" 11 -0.41286090945451
"WALKING" 11 -0.411787613587433
"WALKING" 11 -0.410555920763636
"WALKING" 11 -0.409745300901426
"WALKING" 11 -0.408837300036007
"WALKING" 11 -0.407579107840107
"WALKING" 11 -0.403062323939661
"WALKING" 11 -0.402467684620499
"WALKING" 11 -0.39949174392656
"WALKING" 11 -0.395684432948841
"WALKING" 11 -0.389878419432452
"WALKING" 12 -0.397560604137469
"WALKING" 12 -0.391902995133868
"WALKING" 12 -0.387619541104456
"WALKING" 12 -0.387488920779679
"WALKING" 12 -0.386767401459002
"WALKING" 12 -0.386564601881818
"WALKING" 12 -0.383254698293922
"WALKING" 12 -0.380072739032442
"WALKING" 12 -0.376969414562567
"WALKING" 12 -0.375814817307736
"WALKING" 12 -0.375403232027148
"WALKING" 12 -0.373281246296257
"WALKING" 12 -0.372652599133155
"WALKING" 12 -0.368051760283957
"WALKING" 12 -0.366836003668984
"WALKING" 12 -0.36643032912656
"WALKING" 12 -0.365647522198289
"WALKING" 12 -0.36335928228164
"WALKING" 12 -0.362806090981996
"WALKING" 12 -0.362296062261569
"WALKING" 12 -0.360896159241176
"WALKING" 12 -0.359491069403387
"WALKING" 12 -0.357770103763458
"WALKING" 12 -0.355663310480927
"WALKING" 12 -0.355369901994296
"WALKING" 12 -0.354617597693405
"WALKING" 12 -0.354613687532406
"WALKING" 12 -0.352950103716043
"WALKING" 12 -0.351699833745811
"WALKING" 12 -0.350570086653725
"WALKING" 12 -0.349255219932335
"WALKING" 12 -0.347819638467141
"WALKING" 12 -0.347790333996078
"WALKING" 12 -0.346616800715169
"WALKING" 12 -0.345826440598217
"WALKING" 12 -0.344414111668449
"WALKING" 12 -0.344208059863066
"WALKING" 12 -0.34119169237369
"WALKING" 12 -0.338506783736185
"WALKING" 12 -0.33721555241836
"WALKING" 12 -0.336074983317415
"WALKING" 12 -0.335730106953298
"WALKING" 12 -0.334273420903565
"WALKING" 12 -0.328561511460214
"WALKING" 12 -0.323723190690232
"WALKING" 12 -0.323226198773084
"WALKING" 12 -0.321998731895383
"WALKING" 12 -0.32123789863262
"WALKING" 12 -0.313523183628841
"WALKING" 12 -0.312392196157219
"WALKING" 13 -0.394424857898217
"WALKING" 13 -0.364749039826025
"WALKING" 13 -0.360295797454011
"WALKING" 13 -0.347175173738146
"WALKING" 13 -0.345068459898039
"WALKING" 13 -0.344773873954456
"WALKING" 13 -0.340806197727932
"WALKING" 13 -0.335570684030749
"WALKING" 13 -0.335007099674688
"WALKING" 13 -0.333976888185383
"WALKING" 13 -0.333040258636364
"WALKING" 13 -0.331900622028877
"WALKING" 13 -0.330812358404118
"WALKING" 13 -0.330716782630713
"WALKING" 13 -0.330672288986274
"WALKING" 13 -0.329151328843886
"WALKING" 13 -0.327594430503743
"WALKING" 13 -0.327498654461676
"WALKING" 13 -0.325870719775704
"WALKING" 13 -0.32581175035811
"WALKING" 13 -0.324585011437469
"WALKING" 13 -0.323597266634938
"WALKING" 13 -0.322622818824011
"WALKING" 13 -0.322085943031283
"WALKING" 13 -0.321522951163458
"WALKING" 13 -0.319602298569519
"WALKING" 13 -0.318901090489394
"WALKING" 13 -0.318134023061822
"WALKING" 13 -0.315920844316756
"WALKING" 13 -0.314192755070945
"WALKING" 13 -0.312269056414617
"WALKING" 13 -0.310834621056845
"WALKING" 13 -0.310377423480695
"WALKING" 13 -0.308741900367558
"WALKING" 13 -0.307309828665633
"WALKING" 13 -0.307009612040766
"WALKING" 13 -0.306342538598467
"WALKING" 13 -0.304898635943779
"WALKING" 13 -0.304601438009982
"WALKING" 13 -0.30409771174902
"WALKING" 13 -0.303608886190854
"WALKING" 13 -0.300983776380731
"WALKING" 13 -0.300866130241622
"WALKING" 13 -0.300273259857754
"WALKING" 13 -0.299136177357522
"WALKING" 13 -0.298787720705561
"WALKING" 13 -0.29514748413328
"WALKING" 13 -0.295043962320285
"WALKING" 13 -0.293873924229055
"WALKING" 13 -0.293556740378788
"WALKING" 13 -0.29165123175303
"WALKING" 13 -0.291048094992531
"WALKING" 13 -0.29094793167451
"WALKING" 13 -0.288262446205455
"WALKING" 13 -0.287080622512834
"WALKING" 13 -0.286498865968153
"WALKING" 13 -0.279030900889144
"WALKING" 14 -0.450786927993048
"WALKING" 14 -0.432659958069895
"WALKING" 14 -0.43248430897861
"WALKING" 14 -0.426336815651569
"WALKING" 14 -0.422515130940642
"WALKING" 14 -0.415198599401016
"WALKING" 14 -0.413188998661551
"WALKING" 14 -0.408828264444635
"WALKING" 14 -0.407821027840463
"WALKING" 14 -0.406267846189234
"WALKING" 14 -0.406199451865151
"WALKING" 14 -0.40517431145205
"WALKING" 14 -0.403794061695187
"WALKING" 14 -0.403596732900619
"WALKING" 14 -0.403190864120481
